pid	Status	Started at	Completed at	Reviewed at	Archived at	Time taken	Completion code	Total approvals	Fluent languages	Age	Sex	Ethnicity simplified	Country of birth	Country of residence	Nationality	Language	Student status	Employment status
49	APPROVED	2023-01-22T21:05:42.943000Z	2023-01-22T21:22:22.871000Z	2023-01-26T00:09:28.867000	2023-01-22T21:22:23.523809Z	1000.0	CJETWGMX	1352	English	22	Female	White	United States	United States	United States	English	No	Full-Time
116	APPROVED	2023-01-22T21:04:14.837000Z	2023-01-22T21:24:55.949000Z	2023-01-26T00:09:29.045000	2023-01-22T21:24:56.348139Z	1242.0	CJETWGMX	1024	English	24	Female	White	United States	United States	United States	English	No	Part-Time
45	APPROVED	2023-01-22T21:05:52.861000Z	2023-01-22T21:31:04.764000Z	2023-01-26T00:09:29.212000	2023-01-22T21:31:06.604090Z	1512.0	CJETWGMX	738	English, Swedish	44	Male	White	United States	United States	United States	English	No	DATA_EXPIRED
118	APPROVED	2023-01-22T21:08:53.919000Z	2023-01-22T21:42:07.919000Z	2023-01-26T00:09:29.387000	2023-01-22T21:42:08.303729Z	1994.0	CJETWGMX	50	English	49	Male	White	United States	United States	United States	English	No	Full-Time
200	APPROVED	2023-01-22T21:12:53.783000Z	2023-01-22T22:04:58.446000Z	2023-01-26T00:09:29.544000	2023-01-22T22:04:58.761006Z	3125.0	CJETWGMX	501	English	64	Female	White	United States	United States	United States	English	No	DATA_EXPIRED
217	APPROVED	2023-01-22T21:13:49.043000Z	2023-01-22T21:51:35.686000Z	2023-01-26T00:09:29.719000	2023-01-22T21:51:36.045808Z	2267.0	CJETWGMX	266	English	23	Female	White	United States	United States	United States	English	Yes	Part-Time
140	APPROVED	2023-01-22T21:16:58.611000Z	2023-01-22T21:46:44.642000Z	2023-01-26T00:09:29.893000	2023-01-22T21:46:44.978527Z	1787.0	CJETWGMX	182	English	21	Male	White	United States	United States	United States	English	DATA_EXPIRED	DATA_EXPIRED
190	APPROVED	2023-01-22T21:20:10.894000Z	2023-01-22T21:38:59.579000Z	2023-01-26T00:09:30.051000	2023-01-22T21:39:00.005694Z	1129.0	CJETWGMX	934	English, Spanish	37	Female	White	United States	United States	United States	English	DATA_EXPIRED	DATA_EXPIRED
210	APPROVED	2023-01-22T21:21:15.635000Z	2023-01-22T21:52:38.871000Z	2023-01-26T00:09:30.225000	2023-01-22T21:52:39.714642Z	1884.0	CJETWGMX	920	English	40	Male	White	United States	United States	United States	English	No	Full-Time
83	APPROVED	2023-01-22T21:25:50.946000Z	2023-01-22T21:40:00.129000Z	2023-01-26T00:09:30.395000	2023-01-22T21:40:00.494017Z	850.0	CJETWGMX	31	English	29	Female	White	United States	United States	United States	English	Yes	DATA_EXPIRED
74	APPROVED	2023-01-22T21:28:40.970000Z	2023-01-22T22:06:32.288000Z	2023-01-26T00:09:30.555000	2023-01-22T22:06:32.879389Z	2272.0	CJETWGMX	15	English	38	Male	White	United States	United States	United States	English	No	Full-Time
