pid	graph_type	AB	AC	BC
0	line	none	forward	backward
0	skip	forward	backward	backward
0	common_effect	forward	none	backward
0	common_cause	none	backward	backward
0	separate	none	none	none
0	pair	none	backward	none
1	common_cause	none	backward	backward
1	common_effect	none	forward	forward
1	skip	forward	forward	backward
1	pair	none	backward	none
1	line	none	forward	backward
1	separate	none	none	none
2	pair	none	forward	none
2	line	forward	backward	none
2	common_cause	backward	none	forward
2	skip	backward	backward	forward
2	separate	none	none	none
2	common_effect	forward	none	backward
3	common_cause	none	backward	backward
3	common_effect	backward	backward	none
3	pair	none	forward	none
3	skip	backward	backward	forward
3	separate	none	none	none
3	line	backward	forward	none
4	separate	none	none	none
4	line	none	backward	forward
4	common_effect	forward	none	backward
4	common_cause	forward	forward	none
4	skip	backward	forward	forward
4	pair	backward	none	none
5	common_cause	none	backward	backward
5	common_effect	forward	none	backward
5	line	none	backward	forward
5	pair	none	backward	none
5	separate	none	none	none
5	skip	forward	forward	forward
6	common_effect	backward	backward	none
6	line	none	forward	backward
6	skip	backward	forward	forward
6	common_cause	backward	none	forward
6	separate	none	none	none
6	pair	none	none	forward
7	line	backward	forward	none
7	common_cause	forward	forward	none
7	common_effect	forward	none	backward
7	separate	none	none	none
7	pair	forward	none	none
7	skip	backward	backward	forward
8	separate	none	none	none
8	common_effect	forward	none	backward
8	skip	forward	backward	backward
8	pair	forward	none	none
8	common_cause	forward	forward	none
8	line	none	forward	backward
9	separate	none	none	none
9	skip	backward	backward	backward
9	common_cause	backward	none	forward
9	pair	none	none	forward
9	line	none	backward	forward
9	common_effect	forward	none	backward
10	skip	backward	backward	backward
10	common_effect	forward	none	backward
10	separate	none	none	none
10	pair	none	forward	none
10	common_cause	backward	none	forward
10	line	forward	none	forward
11	pair	none	forward	none
11	skip	forward	forward	forward
11	separate	none	none	none
11	common_effect	backward	backward	none
11	common_cause	forward	forward	none
11	line	backward	forward	none
12	pair	none	none	backward
12	skip	backward	backward	forward
12	separate	none	none	none
12	line	none	backward	forward
12	common_cause	forward	forward	none
12	common_effect	backward	backward	none
13	separate	none	none	none
13	pair	backward	none	none
13	skip	backward	forward	forward
13	common_cause	forward	forward	none
13	line	forward	backward	none
13	common_effect	forward	none	backward
14	common_effect	backward	backward	none
14	common_cause	none	backward	backward
14	line	forward	backward	none
14	pair	backward	none	none
14	skip	forward	forward	backward
14	separate	none	none	none
15	pair	backward	none	none
15	common_effect	backward	backward	none
15	separate	none	none	none
15	skip	forward	backward	backward
15	line	backward	forward	none
15	common_cause	forward	forward	none
16	pair	none	none	forward
16	line	forward	backward	none
16	common_effect	backward	backward	none
16	skip	backward	backward	backward
16	common_cause	forward	forward	none
16	separate	none	none	none
17	line	none	forward	backward
17	common_effect	forward	none	backward
17	separate	none	none	none
17	common_cause	backward	none	forward
17	pair	forward	none	none
17	skip	backward	backward	backward
18	common_effect	forward	none	backward
18	line	backward	forward	none
18	common_cause	forward	forward	none
18	separate	none	none	none
18	skip	forward	forward	backward
18	pair	backward	none	none
19	separate	none	none	none
19	common_cause	none	backward	backward
19	line	none	forward	backward
19	common_effect	backward	backward	none
19	skip	forward	forward	forward
19	pair	none	none	backward
20	skip	forward	backward	backward
20	common_effect	backward	backward	none
20	line	forward	backward	none
20	separate	none	none	none
20	pair	backward	none	none
20	common_cause	forward	forward	none
21	separate	none	none	none
21	line	forward	none	forward
21	common_cause	backward	none	forward
21	common_effect	backward	backward	none
21	pair	none	forward	none
21	skip	forward	forward	forward
22	separate	none	none	none
22	skip	forward	forward	backward
22	pair	none	forward	none
22	line	none	forward	backward
22	common_cause	forward	forward	none
22	common_effect	backward	backward	none
23	line	none	backward	forward
23	common_cause	none	backward	backward
23	separate	none	none	none
23	skip	backward	backward	backward
23	pair	none	backward	none
23	common_effect	backward	backward	none
24	common_effect	forward	none	backward
24	skip	backward	backward	forward
24	line	forward	backward	none
24	separate	none	none	none
24	common_cause	backward	none	forward
24	pair	forward	none	none
25	common_cause	backward	none	forward
25	common_effect	backward	backward	none
25	line	none	forward	backward
25	separate	none	none	none
25	pair	none	forward	none
25	skip	backward	forward	forward
26	separate	none	none	none
26	common_cause	backward	none	forward
26	line	none	forward	backward
26	skip	forward	backward	backward
26	common_effect	none	forward	forward
26	pair	backward	none	none
27	line	forward	backward	none
27	pair	none	backward	none
27	common_cause	backward	none	forward
27	separate	none	none	none
27	skip	forward	forward	backward
27	common_effect	forward	none	backward
28	line	backward	forward	none
28	common_cause	forward	forward	none
28	skip	forward	backward	backward
28	separate	none	none	none
28	common_effect	backward	backward	none
28	pair	backward	none	none
29	separate	none	none	none
29	common_cause	none	backward	backward
29	skip	backward	forward	forward
29	pair	none	none	forward
29	common_effect	backward	backward	none
29	line	backward	none	backward
30	separate	none	none	none
30	common_effect	backward	backward	none
30	common_cause	backward	none	forward
30	skip	forward	forward	backward
30	line	backward	forward	none
30	pair	none	forward	none
31	pair	none	none	backward
31	common_cause	none	backward	backward
31	common_effect	backward	backward	none
31	line	forward	backward	none
31	skip	backward	forward	forward
31	separate	none	none	none
32	line	forward	backward	none
32	common_cause	none	backward	backward
32	common_effect	backward	backward	none
32	skip	backward	forward	forward
32	separate	none	none	none
32	pair	none	backward	none
33	pair	none	forward	none
33	common_cause	backward	none	forward
33	separate	none	none	none
33	common_effect	backward	backward	none
33	line	none	backward	forward
33	skip	forward	backward	backward
34	line	none	forward	backward
34	skip	forward	forward	backward
34	common_cause	backward	none	forward
34	separate	none	none	none
34	common_effect	none	forward	forward
34	pair	backward	none	none
35	separate	none	none	none
35	skip	backward	backward	forward
35	pair	none	backward	none
35	line	backward	forward	none
35	common_effect	none	forward	forward
35	common_cause	none	backward	backward
36	common_effect	none	forward	forward
36	common_cause	backward	none	forward
36	line	backward	forward	none
36	pair	none	none	backward
36	separate	none	none	none
36	skip	backward	forward	forward
37	line	backward	forward	none
37	pair	none	forward	none
37	common_effect	backward	backward	none
37	common_cause	forward	forward	none
37	skip	backward	backward	forward
37	separate	none	none	none
38	separate	none	none	none
38	common_effect	backward	backward	none
38	common_cause	backward	none	forward
38	line	backward	forward	none
38	skip	forward	backward	backward
38	pair	forward	none	none
39	common_cause	none	backward	backward
39	separate	none	none	none
39	skip	backward	backward	forward
39	pair	none	none	forward
39	line	forward	none	forward
39	common_effect	none	forward	forward
40	line	forward	backward	none
40	skip	forward	forward	backward
40	pair	none	none	forward
40	common_effect	backward	backward	none
40	common_cause	forward	forward	none
40	separate	none	none	none
41	common_cause	backward	none	forward
41	line	forward	backward	none
41	skip	forward	backward	backward
41	separate	none	none	none
41	pair	backward	none	none
41	common_effect	backward	backward	none
42	separate	none	none	none
42	skip	backward	backward	forward
42	common_cause	backward	none	forward
42	pair	backward	none	none
42	common_effect	backward	backward	none
42	line	none	forward	backward
43	common_effect	backward	backward	none
43	pair	none	none	backward
43	line	backward	none	backward
43	common_cause	forward	forward	none
43	separate	none	none	none
43	skip	backward	backward	forward
44	common_cause	backward	none	forward
44	pair	none	forward	none
44	common_effect	forward	none	backward
44	separate	none	none	none
44	skip	forward	backward	backward
44	line	backward	none	backward
45	skip	forward	forward	backward
45	common_effect	backward	backward	none
45	common_cause	backward	none	forward
45	separate	none	none	none
45	pair	none	none	backward
45	line	none	backward	forward
46	separate	none	none	none
46	skip	forward	backward	backward
46	line	none	forward	backward
46	common_cause	backward	none	forward
46	common_effect	forward	none	backward
46	pair	none	none	backward
47	separate	none	none	none
47	skip	forward	backward	backward
47	common_effect	none	forward	forward
47	line	none	forward	backward
47	pair	none	backward	none
47	common_cause	none	backward	backward
48	line	none	forward	backward
48	separate	none	none	none
48	pair	none	backward	none
48	common_effect	backward	backward	none
