obsIndex	edge	p_none	p_forward	p_backward	graphType	condition	response_sample	response_max	pid
0	AB	0.36	0.32	0.32	common_cause	explanations_only	backward	none	2
1	AB	0.3897	0.0515	0.5588	common_cause	explanations_only	none	backward	2
2	AB	0.2776	0.0078	0.7146	common_cause	explanations_only	backward	backward	2
3	AB	0.0344	0.0	0.9656	common_cause	explanations_only	backward	backward	2
4	AB	0.02	0.0	0.98	common_cause	explanations_only	backward	backward	2
5	AB	0.0118	0.0	0.9882	common_cause	explanations_only	backward	backward	2
6	AB	0.0692	0.0	0.9308	common_cause	explanations_only	backward	backward	2
7	AB	0.0573	0.0	0.9427	common_cause	explanations_only	backward	backward	2
8	AB	0.0405	0.0	0.9595	common_cause	explanations_only	backward	backward	2
9	AB	0.0328	0.0	0.9672	common_cause	explanations_only	backward	backward	2
10	AB	0.0045	0.0	0.9955	common_cause	explanations_only	backward	backward	2
0	AC	0.36	0.32	0.32	common_cause	explanations_only	none	none	2
1	AC	0.4327	0.2527	0.3147	common_cause	explanations_only	none	none	2
2	AC	0.4881	0.1909	0.321	common_cause	explanations_only	backward	none	2
3	AC	0.5529	0.1415	0.3056	common_cause	explanations_only	backward	none	2
4	AC	0.6985	0.1221	0.1794	common_cause	explanations_only	none	none	2
5	AC	0.8124	0.0928	0.0949	common_cause	explanations_only	none	none	2
6	AC	0.3123	0.4628	0.2249	common_cause	explanations_only	forward	forward	2
7	AC	0.3245	0.4454	0.2301	common_cause	explanations_only	none	forward	2
8	AC	0.3401	0.4668	0.1932	common_cause	explanations_only	none	forward	2
9	AC	0.3555	0.488	0.1565	common_cause	explanations_only	none	forward	2
10	AC	0.3434	0.625	0.0316	common_cause	explanations_only	none	forward	2
0	BC	0.36	0.32	0.32	common_cause	explanations_only	backward	none	2
1	BC	0.4045	0.3514	0.2441	common_cause	explanations_only	forward	none	2
2	BC	0.4833	0.2995	0.2172	common_cause	explanations_only	none	none	2
3	BC	0.5987	0.2477	0.1535	common_cause	explanations_only	none	none	2
4	BC	0.6889	0.1943	0.1168	common_cause	explanations_only	none	none	2
5	BC	0.7854	0.1353	0.0793	common_cause	explanations_only	none	none	2
6	BC	0.2144	0.7856	0.0	common_cause	explanations_only	forward	forward	2
7	BC	0.2227	0.7773	0.0	common_cause	explanations_only	none	forward	2
8	BC	0.2334	0.7666	0.0	common_cause	explanations_only	forward	forward	2
9	BC	0.244	0.756	0.0	common_cause	explanations_only	none	forward	2
10	BC	0.3025	0.6975	0.0	common_cause	explanations_only	forward	forward	2
0	AB	0.36	0.32	0.32	common_effect	explanations_only	none	none	2
1	AB	0.0682	0.9318	0.0	common_effect	explanations_only	forward	forward	2
2	AB	0.0386	0.9614	0.0	common_effect	explanations_only	forward	forward	2
3	AB	0.0426	0.9574	0.0	common_effect	explanations_only	forward	forward	2
4	AB	0.0355	0.9645	0.0	common_effect	explanations_only	none	forward	2
5	AB	0.063	0.937	0.0	common_effect	explanations_only	forward	forward	2
6	AB	0.0305	0.9695	0.0	common_effect	explanations_only	forward	forward	2
7	AB	0.0503	0.9497	0.0	common_effect	explanations_only	forward	forward	2
8	AB	0.0094	0.9906	0.0	common_effect	explanations_only	forward	forward	2
9	AB	0.0068	0.9932	0.0	common_effect	explanations_only	forward	forward	2
10	AB	0.003	0.997	0.0	common_effect	explanations_only	forward	forward	2
0	AC	0.36	0.32	0.32	common_effect	explanations_only	backward	none	2
1	AC	0.4364	0.3597	0.2039	common_effect	explanations_only	none	none	2
2	AC	0.5526	0.2751	0.1723	common_effect	explanations_only	backward	none	2
3	AC	0.5918	0.2352	0.173	common_effect	explanations_only	none	none	2
4	AC	0.6849	0.1811	0.134	common_effect	explanations_only	none	none	2
5	AC	0.6089	0.2006	0.1905	common_effect	explanations_only	none	none	2
6	AC	0.7279	0.1342	0.1378	common_effect	explanations_only	none	none	2
7	AC	0.6669	0.1858	0.1472	common_effect	explanations_only	forward	none	2
8	AC	0.6908	0.0346	0.2745	common_effect	explanations_only	none	none	2
9	AC	0.828	0.0251	0.1469	common_effect	explanations_only	none	none	2
10	AC	0.8892	0.0154	0.0954	common_effect	explanations_only	none	none	2
0	BC	0.36	0.32	0.32	common_effect	explanations_only	forward	none	2
1	BC	0.3699	0.1852	0.4449	common_effect	explanations_only	backward	backward	2
2	BC	0.4034	0.1429	0.4537	common_effect	explanations_only	none	backward	2
3	BC	0.2871	0.0218	0.691	common_effect	explanations_only	backward	backward	2
4	BC	0.159	0.0027	0.8383	common_effect	explanations_only	none	backward	2
5	BC	0.0587	0.0	0.9413	common_effect	explanations_only	backward	backward	2
6	BC	0.0424	0.0	0.9576	common_effect	explanations_only	backward	backward	2
7	BC	0.1202	0.0	0.8798	common_effect	explanations_only	backward	backward	2
8	BC	0.2241	0.0	0.7759	common_effect	explanations_only	backward	backward	2
9	BC	0.1088	0.0	0.8912	common_effect	explanations_only	backward	backward	2
10	BC	0.0707	0.0	0.9293	common_effect	explanations_only	backward	backward	2
0	AB	0.36	0.32	0.32	line	explanations_only	none	none	2
1	AB	0.0797	0.9203	0.0	line	explanations_only	forward	forward	2
2	AB	0.0475	0.9525	0.0	line	explanations_only	forward	forward	2
3	AB	0.0299	0.9701	0.0	line	explanations_only	forward	forward	2
4	AB	0.0	1.0	0.0	line	explanations_only	forward	forward	2
5	AB	0.0	1.0	0.0	line	explanations_only	forward	forward	2
6	AB	0.0	1.0	0.0	line	explanations_only	forward	forward	2
7	AB	0.0	1.0	0.0	line	explanations_only	forward	forward	2
8	AB	0.0	1.0	0.0	line	explanations_only	forward	forward	2
9	AB	0.0	1.0	0.0	line	explanations_only	forward	forward	2
10	AB	0.0	1.0	0.0	line	explanations_only	forward	forward	2
0	AC	0.36	0.32	0.32	line	explanations_only	forward	none	2
1	AC	0.3786	0.4151	0.2062	line	explanations_only	backward	forward	2
2	AC	0.4859	0.3305	0.1836	line	explanations_only	forward	none	2
3	AC	0.5977	0.2491	0.1532	line	explanations_only	none	none	2
4	AC	0.0	0.0	1.0	line	explanations_only	backward	backward	2
