seed	graph_type	AB	AC	BC
0	separate	none	none	none
0	common_effect	none	forward	forward
0	common_cause	backward	none	forward
0	line	none	forward	backward
0	pair	none	none	forward
0	skip	backward	backward	forward
0	separate	none	none	none
0	common_effect	none	forward	forward
0	common_cause	backward	none	forward
0	line	none	forward	backward
0	pair	none	none	forward
0	skip	backward	backward	forward
0	separate	none	none	none
0	common_effect	none	forward	forward
0	common_cause	backward	none	forward
0	line	none	forward	backward
0	pair	none	none	forward
0	skip	backward	backward	forward
1	separate	none	none	none
1	common_effect	forward	none	backward
1	common_cause	backward	none	forward
1	line	backward	forward	none
1	pair	none	none	backward
1	skip	forward	forward	forward
1	separate	none	none	none
1	common_effect	forward	none	backward
1	common_cause	backward	none	forward
1	line	backward	forward	none
1	pair	none	none	backward
1	skip	forward	forward	forward
1	separate	none	none	none
1	common_effect	forward	none	backward
1	common_cause	backward	none	forward
1	line	backward	forward	none
1	pair	none	none	backward
1	skip	forward	forward	forward
2	separate	none	none	none
2	common_effect	none	forward	forward
2	common_cause	forward	forward	none
2	line	forward	none	forward
2	pair	none	none	forward
2	skip	forward	backward	backward
2	separate	none	none	none
2	common_effect	none	forward	forward
2	common_cause	forward	forward	none
2	line	forward	none	forward
2	pair	none	none	forward
2	skip	forward	backward	backward
2	separate	none	none	none
2	common_effect	none	forward	forward
2	common_cause	forward	forward	none
2	line	forward	none	forward
2	pair	none	none	forward
2	skip	forward	backward	backward
3	separate	none	none	none
3	common_effect	none	forward	forward
3	common_cause	forward	forward	none
3	line	none	backward	forward
3	pair	none	none	forward
3	skip	backward	backward	forward
3	separate	none	none	none
3	common_effect	none	forward	forward
3	common_cause	forward	forward	none
3	line	none	backward	forward
3	pair	none	none	forward
3	skip	backward	backward	forward
3	separate	none	none	none
3	common_effect	none	forward	forward
3	common_cause	forward	forward	none
3	line	none	backward	forward
3	pair	none	none	forward
3	skip	backward	backward	forward
4	separate	none	none	none
4	common_effect	none	forward	forward
4	common_cause	none	backward	backward
4	line	backward	none	backward
4	pair	none	forward	none
4	skip	backward	backward	backward
4	separate	none	none	none
4	common_effect	none	forward	forward
4	common_cause	none	backward	backward
4	line	backward	none	backward
4	pair	none	forward	none
4	skip	backward	backward	backward
4	separate	none	none	none
4	common_effect	none	forward	forward
4	common_cause	none	backward	backward
4	line	backward	none	backward
4	pair	none	forward	none
4	skip	backward	backward	backward
5	separate	none	none	none
5	common_effect	none	forward	forward
5	common_cause	none	backward	backward
5	line	forward	none	forward
5	pair	backward	none	none
5	skip	forward	backward	backward
5	separate	none	none	none
5	common_effect	none	forward	forward
5	common_cause	none	backward	backward
5	line	forward	none	forward
5	pair	backward	none	none
5	skip	forward	backward	backward
5	separate	none	none	none
5	common_effect	none	forward	forward
5	common_cause	none	backward	backward
5	line	forward	none	forward
5	pair	backward	none	none
5	skip	forward	backward	backward
6	separate	none	none	none
6	common_effect	forward	none	backward
6	common_cause	backward	none	forward
6	line	none	forward	backward
6	pair	none	backward	none
6	skip	backward	backward	backward
6	separate	none	none	none
6	common_effect	forward	none	backward
6	common_cause	backward	none	forward
6	line	none	forward	backward
6	pair	none	backward	none
6	skip	backward	backward	backward
6	separate	none	none	none
6	common_effect	forward	none	backward
6	common_cause	backward	none	forward
6	line	none	forward	backward
6	pair	none	backward	none
6	skip	backward	backward	backward
7	separate	none	none	none
7	common_effect	none	forward	forward
7	common_cause	backward	none	forward
7	line	backward	forward	none
7	pair	none	none	backward
7	skip	forward	forward	backward
7	separate	none	none	none
7	common_effect	none	forward	forward
7	common_cause	backward	none	forward
7	line	backward	forward	none
7	pair	none	none	backward
7	skip	forward	forward	backward
7	separate	none	none	none
7	common_effect	none	forward	forward
7	common_cause	backward	none	forward
7	line	backward	forward	none
7	pair	none	none	backward
7	skip	forward	forward	backward
8	separate	none	none	none
8	common_effect	none	forward	forward
8	common_cause	forward	forward	none
8	line	none	backward	forward
8	pair	none	none	backward
8	skip	backward	backward	forward
8	separate	none	none	none
8	common_effect	none	forward	forward
8	common_cause	forward	forward	none
8	line	none	backward	forward
8	pair	none	none	backward
8	skip	backward	backward	forward
8	separate	none	none	none
8	common_effect	none	forward	forward
8	common_cause	forward	forward	none
8	line	none	backward	forward
8	pair	none	none	backward
8	skip	backward	backward	forward
9	separate	none	none	none
9	common_effect	forward	none	backward
9	common_cause	none	backward	backward
9	line	backward	none	backward
9	pair	none	none	forward
9	skip	forward	forward	forward
9	separate	none	none	none
9	common_effect	forward	none	backward
9	common_cause	none	backward	backward
9	line	backward	none	backward
9	pair	none	none	forward
9	skip	forward	forward	forward
9	separate	none	none	none
9	common_effect	forward	none	backward
9	common_cause	none	backward	backward
9	line	backward	none	backward
9	pair	none	none	forward
9	skip	forward	forward	forward
10	separate	none	none	none
10	common_effect	none	forward	forward
10	common_cause	none	backward	backward
10	line	none	backward	forward
10	pair	none	none	forward
10	skip	backward	forward	forward
10	separate	none	none	none
10	common_effect	none	forward	forward
10	common_cause	none	backward	backward
10	line	none	backward	forward
10	pair	none	none	forward
10	skip	backward	forward	forward
10	separate	none	none	none
10	common_effect	none	forward	forward
10	common_cause	none	backward	backward
10	line	none	backward	forward
10	pair	none	none	forward
10	skip	backward	forward	forward
11	separate	none	none	none
11	common_effect	backward	backward	none
11	common_cause	forward	forward	none
11	line	backward	forward	none
11	pair	none	backward	none
11	skip	forward	forward	backward
11	separate	none	none	none
11	common_effect	backward	backward	none
11	common_cause	forward	forward	none
11	line	backward	forward	none
11	pair	none	backward	none
11	skip	forward	forward	backward
11	separate	none	none	none
11	common_effect	backward	backward	none
11	common_cause	forward	forward	none
11	line	backward	forward	none
11	pair	none	backward	none
11	skip	forward	forward	backward
12	separate	none	none	none
12	common_effect	forward	none	backward
12	common_cause	forward	forward	none
12	line	backward	none	backward
12	pair	none	none	backward
12	skip	forward	forward	forward
12	separate	none	none	none
12	common_effect	forward	none	backward
12	common_cause	forward	forward	none
12	line	backward	none	backward
12	pair	none	none	backward
12	skip	forward	forward	forward
12	separate	none	none	none
12	common_effect	forward	none	backward
12	common_cause	forward	forward	none
12	line	backward	none	backward
12	pair	none	none	backward
12	skip	forward	forward	forward
13	separate	none	none	none
13	common_effect	none	forward	forward
13	common_cause	none	backward	backward
13	line	backward	forward	none
13	pair	none	none	backward
13	skip	forward	forward	forward
13	separate	none	none	none
13	common_effect	none	forward	forward
13	common_cause	none	backward	backward
13	line	backward	forward	none
13	pair	none	none	backward
13	skip	forward	forward	forward
13	separate	none	none	none
13	common_effect	none	forward	forward
13	common_cause	none	backward	backward
13	line	backward	forward	none
13	pair	none	none	backward
13	skip	forward	forward	forward
14	separate	none	none	none
14	common_effect	backward	backward	none
14	common_cause	none	backward	backward
14	line	none	forward	backward
14	pair	none	backward	none
14	skip	forward	forward	forward
14	separate	none	none	none
14	common_effect	backward	backward	none
14	common_cause	none	backward	backward
14	line	none	forward	backward
14	pair	none	backward	none
14	skip	forward	forward	forward
14	separate	none	none	none
14	common_effect	backward	backward	none
14	common_cause	none	backward	backward
14	line	none	forward	backward
14	pair	none	backward	none
14	skip	forward	forward	forward
15	separate	none	none	none
15	common_effect	none	forward	forward
15	common_cause	none	backward	backward
15	line	backward	forward	none
15	pair	backward	none	none
15	skip	backward	backward	forward
15	separate	none	none	none
15	common_effect	none	forward	forward
15	common_cause	none	backward	backward
15	line	backward	forward	none
15	pair	backward	none	none
15	skip	backward	backward	forward
15	separate	none	none	none
15	common_effect	none	forward	forward
15	common_cause	none	backward	backward
15	line	backward	forward	none
15	pair	backward	none	none
15	skip	backward	backward	forward
16	separate	none	none	none
16	common_effect	forward	none	backward
16	common_cause	backward	none	forward
16	line	backward	forward	none
16	pair	none	backward	none
16	skip	backward	forward	forward
16	separate	none	none	none
16	common_effect	forward	none	backward
16	common_cause	backward	none	forward
16	line	backward	forward	none
16	pair	none	backward	none
16	skip	backward	forward	forward
16	separate	none	none	none
16	common_effect	forward	none	backward
16	common_cause	backward	none	forward
16	line	backward	forward	none
16	pair	none	backward	none
16	skip	backward	forward	forward
17	separate	none	none	none
17	common_effect	none	forward	forward
17	common_cause	none	backward	backward
17	line	forward	none	forward
17	pair	forward	none	none
17	skip	forward	backward	backward
17	separate	none	none	none
17	common_effect	none	forward	forward
17	common_cause	none	backward	backward
17	line	forward	none	forward
17	pair	forward	none	none
17	skip	forward	backward	backward
17	separate	none	none	none
17	common_effect	none	forward	forward
17	common_cause	none	backward	backward
17	line	forward	none	forward
17	pair	forward	none	none
17	skip	forward	backward	backward
18	separate	none	none	none
18	common_effect	none	forward	forward
18	common_cause	backward	none	forward
18	line	none	backward	forward
18	pair	backward	none	none
18	skip	backward	backward	backward
18	separate	none	none	none
18	common_effect	none	forward	forward
18	common_cause	backward	none	forward
18	line	none	backward	forward
18	pair	backward	none	none
18	skip	backward	backward	backward
18	separate	none	none	none
18	common_effect	none	forward	forward
18	common_cause	backward	none	forward
18	line	none	backward	forward
18	pair	backward	none	none
18	skip	backward	backward	backward
19	separate	none	none	none
19	common_effect	forward	none	backward
